uni_id,uni_code,uni_name,address,phone_no,inst_date,website
1,RTMNU001,Rashtrasant Tukadoji Maharaj Nagpur University,"Amravati Road,Nagpur,Maharashtra,India",7122533452,1923-08-01,https://www.nagpuruniversity.ac.in
2,MU002,University of Mumbai,"Mumbai,Maharashtra, India",2222652819,1857-07-18,https://mu.ac.in
3,SPPU003,Savitribai Phule Pune University,"Pune, Maharashtra, India",2025601333,1949-02-10,http://www.unipune.ac.in
4,BAMU004,Dr. Babasaheb Ambedkar Marathwada University,"Aurangabad, Maharashtra, India",2402403399,1958-08-23,https://www.bamu.ac.in
5,NMU005,Kavayitri Bahinabai Chaudhari North Maharashtra University,"Jalgaon, Maharashtra, India",2572258403,1990-08-15,https://nmu.ac.in
6,SGBAU006,Sant Gadge Baba Amravati University,"Amravati, Maharashtra, India",7212662358,1983-05-01,https://www.sgbau.ac.in
7,SU007,Shivaji University,"Kolhapur, Maharashtra, India",2312609000,1962-11-18,https://www.unishivaji.ac.in
8,SNDT008,SNDT Women’s University,"Mumbai, Maharashtra, India",2222001789,1916-07-05,https://sndt.ac.in
9,MUHS009,Maharashtra University of Health Sciences,"Nashik, Maharashtra, India",2532539111,1998-06-10,https://www.muhs.ac.in
10,YCMOU010,Yashwantrao Chavan Maharashtra Open University,"Nashik, Maharashtra, India",2532231714,1989-07-01,https://ycmou.ac.in
